dataset,seed,subject,exit,n_trials,accuracy_pct,kappa,ece_15,nll,brier_sum,mean_confidence
bcic2b,0,4,shallow,320,97.5,0.95,0.03857990657800874,0.08599025418612757,0.04134787790599716,0.9452609912226558
bcic2b,0,4,mid,320,99.0625,0.98125,0.02134139465113749,0.05752372832634828,0.02560841015397435,0.9704839545498342
bcic2b,0,4,deep,320,98.125,0.9625,0.02029812100748687,0.06153322233000062,0.028136032651376163,0.9715723070873026
bcic2b,0,4,final,320,98.4375,0.96875,0.019270125778559744,0.05935742749026871,0.026948793905177976,0.975686267269935
bcic2b,0,4,ensemble,320,99.0625,0.98125,0.02285995191033953,0.058553032414864516,0.026109711609642983,0.9712989105632804
