dataset,subject,exit,bin,lower,upper,n,accuracy,confidence
bcic2b,9,shallow,0,0.0,0.06666666666666667,0,,
bcic2b,9,shallow,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,9,shallow,2,0.13333333333333333,0.2,0,,
bcic2b,9,shallow,3,0.2,0.26666666666666666,0,,
bcic2b,9,shallow,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,9,shallow,5,0.3333333333333333,0.4,0,,
bcic2b,9,shallow,6,0.4,0.4666666666666667,0,,
bcic2b,9,shallow,7,0.4666666666666667,0.5333333333333333,5,0.8,0.5220796337842998
bcic2b,9,shallow,8,0.5333333333333333,0.6,24,0.5,0.5608150730577637
bcic2b,9,shallow,9,0.6,0.6666666666666666,21,0.8095238095238095,0.6279213089871314
bcic2b,9,shallow,10,0.6666666666666666,0.7333333333333333,29,0.7241379310344828,0.697199069005655
bcic2b,9,shallow,11,0.7333333333333333,0.8,24,0.9166666666666666,0.7708470517187838
bcic2b,9,shallow,12,0.8,0.8666666666666667,39,0.8974358974358975,0.8311135125853346
bcic2b,9,shallow,13,0.8666666666666667,0.9333333333333333,46,0.9782608695652174,0.9013733895708697
bcic2b,9,shallow,14,0.9333333333333333,1.0,132,0.9848484848484849,0.9715399774272243
bcic2b,9,mid,0,0.0,0.06666666666666667,0,,
bcic2b,9,mid,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,9,mid,2,0.13333333333333333,0.2,0,,
bcic2b,9,mid,3,0.2,0.26666666666666666,0,,
bcic2b,9,mid,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,9,mid,5,0.3333333333333333,0.4,0,,
bcic2b,9,mid,6,0.4,0.4666666666666667,0,,
bcic2b,9,mid,7,0.4666666666666667,0.5333333333333333,3,1.0,0.5166742380223454
bcic2b,9,mid,8,0.5333333333333333,0.6,12,0.75,0.5694091576857031
bcic2b,9,mid,9,0.6,0.6666666666666666,9,0.5555555555555556,0.6314793089748589
bcic2b,9,mid,10,0.6666666666666666,0.7333333333333333,17,0.8235294117647058,0.6948544907033793
bcic2b,9,mid,11,0.7333333333333333,0.8,15,0.8666666666666667,0.7693157404821098
bcic2b,9,mid,12,0.8,0.8666666666666667,26,0.6923076923076923,0.8367565147342245
bcic2b,9,mid,13,0.8666666666666667,0.9333333333333333,51,0.8823529411764706,0.904910909629111
