dataset,seed,subject,exit,n_trials,accuracy_pct,kappa,ece_15,nll,brier_sum,mean_confidence
bcic2b,0,9,shallow,320,89.375,0.7875,0.05882448100574564,0.2762177180623917,0.16407739114190684,0.8440477799529189
bcic2b,0,9,mid,320,90.0,0.8,0.0432983753390209,0.28782384803227823,0.17145892842845814,0.8978933444357995
bcic2b,0,9,deep,320,89.6875,0.79375,0.03954100203241112,0.29206836496846683,0.17396139980734796,0.9012288119318506
bcic2b,0,9,final,320,89.375,0.7875,0.03298380554627356,0.276378735433028,0.16521902837685515,0.9082860384229747
bcic2b,0,9,ensemble,320,90.0,0.8,0.030932690991587145,0.2758249412431314,0.1648259706502535,0.8978670037278794
