dataset,subject,exit,bin,lower,upper,n,accuracy,confidence
bcic2a,3,shallow,0,0.0,0.06666666666666667,0,,
bcic2a,3,shallow,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,3,shallow,2,0.13333333333333333,0.2,0,,
bcic2a,3,shallow,3,0.2,0.26666666666666666,0,,
bcic2a,3,shallow,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,3,shallow,5,0.3333333333333333,0.4,0,,
bcic2a,3,shallow,6,0.4,0.4666666666666667,1,0.0,0.44130442756566407
bcic2a,3,shallow,7,0.4666666666666667,0.5333333333333333,7,0.7142857142857143,0.5009401147572771
bcic2a,3,shallow,8,0.5333333333333333,0.6,6,0.3333333333333333,0.5648635853052026
bcic2a,3,shallow,9,0.6,0.6666666666666666,9,0.6666666666666666,0.627354023836706
bcic2a,3,shallow,10,0.6666666666666666,0.7333333333333333,12,0.75,0.7050455283428838
bcic2a,3,shallow,11,0.7333333333333333,0.8,7,1.0,0.7672836843238839
bcic2a,3,shallow,12,0.8,0.8666666666666667,29,1.0,0.8350283514579948
bcic2a,3,shallow,13,0.8666666666666667,0.9333333333333333,50,0.98,0.9026374738166888
bcic2a,3,shallow,14,0.9333333333333333,1.0,167,1.0,0.9716258070906869
bcic2a,3,mid,0,0.0,0.06666666666666667,0,,
bcic2a,3,mid,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,3,mid,2,0.13333333333333333,0.2,0,,
bcic2a,3,mid,3,0.2,0.26666666666666666,0,,
bcic2a,3,mid,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,3,mid,5,0.3333333333333333,0.4,0,,
bcic2a,3,mid,6,0.4,0.4666666666666667,0,,
bcic2a,3,mid,7,0.4666666666666667,0.5333333333333333,2,0.5,0.5147440945029933
bcic2a,3,mid,8,0.5333333333333333,0.6,0,,
bcic2a,3,mid,9,0.6,0.6666666666666666,3,0.3333333333333333,0.6333000865464028
bcic2a,3,mid,10,0.6666666666666666,0.7333333333333333,3,0.0,0.6815951307252667
bcic2a,3,mid,11,0.7333333333333333,0.8,5,1.0,0.7559121837923528
bcic2a,3,mid,12,0.8,0.8666666666666667,7,0.8571428571428571,0.8354712465551578
bcic2a,3,mid,13,0.8666666666666667,0.9333333333333333,9,1.0,0.909956514220213
bcic2a,3,mid,14,0.9333333333333333,1.0,259,0.9922779922779923,0.9727544958863749
bcic2a,3,deep,0,0.0,0.06666666666666667,0,,
bcic2a,3,deep,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,3,deep,2,0.13333333333333333,0.2,0,,
bcic2a,3,deep,3,0.2,0.26666666666666666,0,,
bcic2a,3,deep,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,3,deep,5,0.3333333333333333,0.4,0,,
bcic2a,3,deep,6,0.4,0.4666666666666667,0,,
bcic2a,3,deep,7,0.4666666666666667,0.5333333333333333,1,0.0,0.4922385783767614
bcic2a,3,deep,8,0.5333333333333333,0.6,5,0.2,0.5700221174913793
bcic2a,3,deep,9,0.6,0.6666666666666666,3,0.3333333333333333,0.6366256510618037
bcic2a,3,deep,10,0.6666666666666666,0.7333333333333333,1,0.0,0.6961566374050807
bcic2a,3,deep,11,0.7333333333333333,0.8,3,1.0,0.7851842870687813
bcic2a,3,deep,12,0.8,0.8666666666666667,6,1.0,0.8334218493779146
bcic2a,3,deep,13,0.8666666666666667,0.9333333333333333,7,0.8571428571428571,0.9090307746321162
bcic2a,3,deep,14,0.9333333333333333,1.0,262,0.9961832061068703,0.9726427552128428
bcic2a,3,final,0,0.0,0.06666666666666667,0,,
bcic2a,3,final,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,3,final,2,0.13333333333333333,0.2,0,,
bcic2a,3,final,3,0.2,0.26666666666666666,0,,
bcic2a,3,final,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,3,final,5,0.3333333333333333,0.4,0,,
bcic2a,3,final,6,0.4,0.4666666666666667,1,1.0,0.44159044335547215
bcic2a,3,final,7,0.4666666666666667,0.5333333333333333,0,,
bcic2a,3,final,8,0.5333333333333333,0.6,1,0.0,0.5378903867300484
bcic2a,3,final,9,0.6,0.6666666666666666,2,0.0,0.6396634324375146
bcic2a,3,final,10,0.6666666666666666,0.7333333333333333,1,1.0,0.7330683529351023
bcic2a,3,final,11,0.7333333333333333,0.8,2,1.0,0.7501513476192534
bcic2a,3,final,12,0.8,0.8666666666666667,3,0.3333333333333333,0.8370651573348976
bcic2a,3,final,13,0.8666666666666667,0.9333333333333333,9,1.0,0.9086738632784132
bcic2a,3,final,14,0.9333333333333333,1.0,269,0.9888475836431226,0.9736932061848931
bcic2a,3,ensemble,0,0.0,0.06666666666666667,0,,
bcic2a,3,ensemble,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,3,ensemble,2,0.13333333333333333,0.2,0,,
bcic2a,3,ensemble,3,0.2,0.26666666666666666,0,,
bcic2a,3,ensemble,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,3,ensemble,5,0.3333333333333333,0.4,0,,
bcic2a,3,ensemble,6,0.4,0.4666666666666667,1,0.0,0.46319601061997445
bcic2a,3,ensemble,7,0.4666666666666667,0.5333333333333333,3,0.6666666666666666,0.49849624770647366
bcic2a,3,ensemble,8,0.5333333333333333,0.6,2,1.0,0.5608842887562422
bcic2a,3,ensemble,9,0.6,0.6666666666666666,1,1.0,0.6657759497453324
bcic2a,3,ensemble,10,0.6666666666666666,0.7333333333333333,2,0.5,0.6918415107470037
bcic2a,3,ensemble,11,0.7333333333333333,0.8,2,0.0,0.7736133075459286
bcic2a,3,ensemble,12,0.8,0.8666666666666667,8,1.0,0.8384721779020153
bcic2a,3,ensemble,13,0.8666666666666667,0.9333333333333333,10,0.9,0.9063558196795958
bcic2a,3,ensemble,14,0.9333333333333333,1.0,259,0.9961389961389961,0.9720386302768377
