dataset,subject,exit,bin,lower,upper,n,accuracy,confidence
bcic2a,9,shallow,0,0.0,0.06666666666666667,0,,
bcic2a,9,shallow,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,9,shallow,2,0.13333333333333333,0.2,0,,
bcic2a,9,shallow,3,0.2,0.26666666666666666,0,,
bcic2a,9,shallow,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,9,shallow,5,0.3333333333333333,0.4,3,0.6666666666666666,0.37720984747827324
bcic2a,9,shallow,6,0.4,0.4666666666666667,6,0.3333333333333333,0.4352176356715638
bcic2a,9,shallow,7,0.4666666666666667,0.5333333333333333,11,0.7272727272727273,0.5055334688417485
bcic2a,9,shallow,8,0.5333333333333333,0.6,10,0.7,0.5624237553222824
bcic2a,9,shallow,9,0.6,0.6666666666666666,14,0.6428571428571429,0.6326983936869436
bcic2a,9,shallow,10,0.6666666666666666,0.7333333333333333,14,0.7142857142857143,0.706313115676461
bcic2a,9,shallow,11,0.7333333333333333,0.8,15,0.7333333333333333,0.7687226082493608
bcic2a,9,shallow,12,0.8,0.8666666666666667,25,0.84,0.8369653368206349
bcic2a,9,shallow,13,0.8666666666666667,0.9333333333333333,49,0.8775510204081632,0.90107463993535
bcic2a,9,shallow,14,0.9333333333333333,1.0,141,0.9858156028368794,0.9769766850560179
bcic2a,9,mid,0,0.0,0.06666666666666667,0,,
bcic2a,9,mid,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,9,mid,2,0.13333333333333333,0.2,0,,
bcic2a,9,mid,3,0.2,0.26666666666666666,0,,
bcic2a,9,mid,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,9,mid,5,0.3333333333333333,0.4,0,,
bcic2a,9,mid,6,0.4,0.4666666666666667,0,,
bcic2a,9,mid,7,0.4666666666666667,0.5333333333333333,8,0.5,0.498351964109618
bcic2a,9,mid,8,0.5333333333333333,0.6,4,0.75,0.5633442317843508
bcic2a,9,mid,9,0.6,0.6666666666666666,3,0.3333333333333333,0.6428813021721792
bcic2a,9,mid,10,0.6666666666666666,0.7333333333333333,8,0.375,0.7010279954115285
bcic2a,9,mid,11,0.7333333333333333,0.8,8,0.625,0.7737267975845268
bcic2a,9,mid,12,0.8,0.8666666666666667,10,0.9,0.8272448051650001
bcic2a,9,mid,13,0.8666666666666667,0.9333333333333333,13,0.7692307692307693,0.9083113845093321
bcic2a,9,mid,14,0.9333333333333333,1.0,234,0.9572649572649573,0.9716550089887356
bcic2a,9,deep,0,0.0,0.06666666666666667,0,,
bcic2a,9,deep,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,9,deep,2,0.13333333333333333,0.2,0,,
bcic2a,9,deep,3,0.2,0.26666666666666666,0,,
bcic2a,9,deep,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,9,deep,5,0.3333333333333333,0.4,0,,
bcic2a,9,deep,6,0.4,0.4666666666666667,0,,
bcic2a,9,deep,7,0.4666666666666667,0.5333333333333333,4,0.5,0.5121545362644604
bcic2a,9,deep,8,0.5333333333333333,0.6,7,0.7142857142857143,0.5741935856547477
bcic2a,9,deep,9,0.6,0.6666666666666666,8,0.75,0.6290396311346058
bcic2a,9,deep,10,0.6666666666666666,0.7333333333333333,1,1.0,0.7147955389678472
bcic2a,9,deep,11,0.7333333333333333,0.8,8,0.5,0.7643636306554694
bcic2a,9,deep,12,0.8,0.8666666666666667,7,1.0,0.8302931342734668
bcic2a,9,deep,13,0.8666666666666667,0.9333333333333333,16,0.75,0.9025864101522735
bcic2a,9,deep,14,0.9333333333333333,1.0,237,0.9535864978902954,0.9735610671434016
bcic2a,9,final,0,0.0,0.06666666666666667,0,,
bcic2a,9,final,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,9,final,2,0.13333333333333333,0.2,0,,
bcic2a,9,final,3,0.2,0.26666666666666666,0,,
bcic2a,9,final,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,9,final,5,0.3333333333333333,0.4,1,1.0,0.38519453915218854
bcic2a,9,final,6,0.4,0.4666666666666667,0,,
bcic2a,9,final,7,0.4666666666666667,0.5333333333333333,2,0.0,0.528941977640113
bcic2a,9,final,8,0.5333333333333333,0.6,1,1.0,0.5496773328707267
bcic2a,9,final,9,0.6,0.6666666666666666,6,0.5,0.633997112899465
bcic2a,9,final,10,0.6666666666666666,0.7333333333333333,4,0.75,0.7036937962100341
bcic2a,9,final,11,0.7333333333333333,0.8,9,0.6666666666666666,0.7706587089654289
bcic2a,9,final,12,0.8,0.8666666666666667,7,0.8571428571428571,0.8334365402509641
bcic2a,9,final,13,0.8666666666666667,0.9333333333333333,20,0.8,0.9060806433486623
bcic2a,9,final,14,0.9333333333333333,1.0,238,0.9495798319327731,0.9740525319316583
bcic2a,9,ensemble,0,0.0,0.06666666666666667,0,,
bcic2a,9,ensemble,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,9,ensemble,2,0.13333333333333333,0.2,0,,
bcic2a,9,ensemble,3,0.2,0.26666666666666666,0,,
bcic2a,9,ensemble,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,9,ensemble,5,0.3333333333333333,0.4,0,,
bcic2a,9,ensemble,6,0.4,0.4666666666666667,2,0.5,0.43577240747721047
bcic2a,9,ensemble,7,0.4666666666666667,0.5333333333333333,4,0.75,0.49932622592591697
bcic2a,9,ensemble,8,0.5333333333333333,0.6,3,0.6666666666666666,0.5671019480517372
bcic2a,9,ensemble,9,0.6,0.6666666666666666,8,0.625,0.640834701612522
bcic2a,9,ensemble,10,0.6666666666666666,0.7333333333333333,7,0.7142857142857143,0.6999844010573241
bcic2a,9,ensemble,11,0.7333333333333333,0.8,7,0.7142857142857143,0.7793838971994506
bcic2a,9,ensemble,12,0.8,0.8666666666666667,7,0.8571428571428571,0.8410020448827323
bcic2a,9,ensemble,13,0.8666666666666667,0.9333333333333333,18,0.7777777777777778,0.9036404641773021
bcic2a,9,ensemble,14,0.9333333333333333,1.0,232,0.9568965517241379,0.9720018303666281
