dataset,seed,subject,exit,n_trials,accuracy_pct,kappa,ece_15,nll,brier_sum,mean_confidence
bcic2b,0,5,shallow,320,96.25,0.925,0.04756312244010266,0.11058526095892818,0.05420053348898035,0.9251798724184569
bcic2b,0,5,mid,320,99.0625,0.98125,0.02150565429928597,0.04258339645081258,0.01526744880274144,0.972048165385241
bcic2b,0,5,deep,320,99.375,0.9875,0.02766698016517072,0.04542842509764868,0.015810152699058777,0.970267672124999
bcic2b,0,5,final,320,99.375,0.9875,0.023087132104472465,0.03989911152042265,0.012156067508037905,0.9739936314208675
bcic2b,0,5,ensemble,320,99.375,0.9875,0.02582495616079178,0.0448244281471144,0.014734531102900622,0.9693889495350134
