dataset,seed,subject,exit,n_trials,accuracy_pct,kappa,ece_15,nll,brier_sum,mean_confidence
bcic2b,0,7,shallow,320,91.25,0.825,0.031525383771835225,0.23874688651681134,0.14050609638536501,0.9016808172686934
bcic2b,0,7,mid,320,93.125,0.8625,0.03682868621663063,0.2270495564301953,0.12230730547288812,0.9461243883518815
bcic2b,0,7,deep,320,93.125,0.8625,0.03907521889354816,0.2270941180135675,0.12405271804218085,0.9479110858951622
bcic2b,0,7,final,320,92.5,0.85,0.035597890932881474,0.22407392966076994,0.11859662530883508,0.9512628761979208
bcic2b,0,7,ensemble,320,93.125,0.8625,0.03090783849399853,0.21929071582909904,0.11957714237096044,0.9459819455698995
