dataset,subject,exit,bin,lower,upper,n,accuracy,confidence
bcic2b,7,shallow,0,0.0,0.06666666666666667,0,,
bcic2b,7,shallow,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,7,shallow,2,0.13333333333333333,0.2,0,,
bcic2b,7,shallow,3,0.2,0.26666666666666666,0,,
bcic2b,7,shallow,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,7,shallow,5,0.3333333333333333,0.4,0,,
bcic2b,7,shallow,6,0.4,0.4666666666666667,0,,
bcic2b,7,shallow,7,0.4666666666666667,0.5333333333333333,6,0.5,0.5110195435854679
bcic2b,7,shallow,8,0.5333333333333333,0.6,4,0.5,0.5654761217042833
bcic2b,7,shallow,9,0.6,0.6666666666666666,15,0.8,0.6312456592248661
bcic2b,7,shallow,10,0.6666666666666666,0.7333333333333333,11,0.8181818181818182,0.7028313739170362
bcic2b,7,shallow,11,0.7333333333333333,0.8,23,0.6956521739130435,0.7710360623604956
bcic2b,7,shallow,12,0.8,0.8666666666666667,30,0.9333333333333333,0.83416797860123
bcic2b,7,shallow,13,0.8666666666666667,0.9333333333333333,41,0.9024390243902439,0.9063003650906354
bcic2b,7,shallow,14,0.9333333333333333,1.0,190,0.9736842105263158,0.9794359263955115
bcic2b,7,mid,0,0.0,0.06666666666666667,0,,
bcic2b,7,mid,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,7,mid,2,0.13333333333333333,0.2,0,,
bcic2b,7,mid,3,0.2,0.26666666666666666,0,,
bcic2b,7,mid,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,7,mid,5,0.3333333333333333,0.4,0,,
bcic2b,7,mid,6,0.4,0.4666666666666667,0,,
bcic2b,7,mid,7,0.4666666666666667,0.5333333333333333,1,0.0,0.5174320965574338
bcic2b,7,mid,8,0.5333333333333333,0.6,5,0.8,0.5698135793970299
bcic2b,7,mid,9,0.6,0.6666666666666666,8,0.75,0.6207553626878276
bcic2b,7,mid,10,0.6666666666666666,0.7333333333333333,4,1.0,0.7063627169153441
bcic2b,7,mid,11,0.7333333333333333,0.8,7,0.7142857142857143,0.7617387799937526
bcic2b,7,mid,12,0.8,0.8666666666666667,7,0.8571428571428571,0.8352500964987108
bcic2b,7,mid,13,0.8666666666666667,0.9333333333333333,25,0.84,0.9021051623020359
bcic2b,7,mid,14,0.9333333333333333,1.0,263,0.9581749049429658,0.9804952825737541
bcic2b,7,deep,0,0.0,0.06666666666666667,0,,
bcic2b,7,deep,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,7,deep,2,0.13333333333333333,0.2,0,,
bcic2b,7,deep,3,0.2,0.26666666666666666,0,,
bcic2b,7,deep,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,7,deep,5,0.3333333333333333,0.4,0,,
bcic2b,7,deep,6,0.4,0.4666666666666667,0,,
bcic2b,7,deep,7,0.4666666666666667,0.5333333333333333,3,0.6666666666666666,0.514789944735723
bcic2b,7,deep,8,0.5333333333333333,0.6,5,1.0,0.5840626092887357
bcic2b,7,deep,9,0.6,0.6666666666666666,3,1.0,0.6496852798691294
bcic2b,7,deep,10,0.6666666666666666,0.7333333333333333,1,0.0,0.7103727234365544
bcic2b,7,deep,11,0.7333333333333333,0.8,12,0.75,0.769560645206449
bcic2b,7,deep,12,0.8,0.8666666666666667,9,0.6666666666666666,0.8484729326491595
bcic2b,7,deep,13,0.8666666666666667,0.9333333333333333,22,0.8181818181818182,0.9041105777810806
bcic2b,7,deep,14,0.9333333333333333,1.0,265,0.9622641509433962,0.9790415818688811
bcic2b,7,final,0,0.0,0.06666666666666667,0,,
bcic2b,7,final,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,7,final,2,0.13333333333333333,0.2,0,,
bcic2b,7,final,3,0.2,0.26666666666666666,0,,
bcic2b,7,final,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,7,final,5,0.3333333333333333,0.4,0,,
bcic2b,7,final,6,0.4,0.4666666666666667,0,,
bcic2b,7,final,7,0.4666666666666667,0.5333333333333333,2,0.5,0.5246700355478913
bcic2b,7,final,8,0.5333333333333333,0.6,5,0.2,0.5631728162438326
bcic2b,7,final,9,0.6,0.6666666666666666,3,1.0,0.6549926222674146
bcic2b,7,final,10,0.6666666666666666,0.7333333333333333,4,0.5,0.6887707248708974
bcic2b,7,final,11,0.7333333333333333,0.8,6,0.8333333333333334,0.7569032959340117
bcic2b,7,final,12,0.8,0.8666666666666667,12,0.8333333333333334,0.8342863822428249
bcic2b,7,final,13,0.8666666666666667,0.9333333333333333,19,0.8421052631578947,0.9071588938925488
bcic2b,7,final,14,0.9333333333333333,1.0,269,0.9591078066914498,0.9815240896589499
