dataset,subject,exit,bin,lower,upper,n,accuracy,confidence
bcic2a,6,shallow,0,0.0,0.06666666666666667,0,,
bcic2a,6,shallow,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,6,shallow,2,0.13333333333333333,0.2,0,,
bcic2a,6,shallow,3,0.2,0.26666666666666666,0,,
bcic2a,6,shallow,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,6,shallow,5,0.3333333333333333,0.4,8,0.5,0.3736714961284955
bcic2a,6,shallow,6,0.4,0.4666666666666667,13,0.3076923076923077,0.4333028774852705
bcic2a,6,shallow,7,0.4666666666666667,0.5333333333333333,19,0.5789473684210527,0.4972030201986987
bcic2a,6,shallow,8,0.5333333333333333,0.6,17,0.7647058823529411,0.5691877783793008
bcic2a,6,shallow,9,0.6,0.6666666666666666,24,0.5833333333333334,0.632468449316863
bcic2a,6,shallow,10,0.6666666666666666,0.7333333333333333,24,0.5,0.69931432710572
bcic2a,6,shallow,11,0.7333333333333333,0.8,18,0.3333333333333333,0.7662564321535213
bcic2a,6,shallow,12,0.8,0.8666666666666667,27,0.8148148148148148,0.8318145313332167
bcic2a,6,shallow,13,0.8666666666666667,0.9333333333333333,64,0.828125,0.907610415857605
bcic2a,6,shallow,14,0.9333333333333333,1.0,74,0.9054054054054054,0.9664004778298952
bcic2a,6,mid,0,0.0,0.06666666666666667,0,,
bcic2a,6,mid,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,6,mid,2,0.13333333333333333,0.2,0,,
bcic2a,6,mid,3,0.2,0.26666666666666666,0,,
bcic2a,6,mid,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,6,mid,5,0.3333333333333333,0.4,1,0.0,0.36207111805622033
bcic2a,6,mid,6,0.4,0.4666666666666667,3,1.0,0.42662578906803433
bcic2a,6,mid,7,0.4666666666666667,0.5333333333333333,5,0.0,0.5073947323134179
bcic2a,6,mid,8,0.5333333333333333,0.6,14,0.5714285714285714,0.5607460070515029
bcic2a,6,mid,9,0.6,0.6666666666666666,9,0.4444444444444444,0.6386303043261377
bcic2a,6,mid,10,0.6666666666666666,0.7333333333333333,11,0.7272727272727273,0.7093782259893596
bcic2a,6,mid,11,0.7333333333333333,0.8,12,0.5833333333333334,0.7676072659675711
bcic2a,6,mid,12,0.8,0.8666666666666667,9,0.5555555555555556,0.8348693956144269
bcic2a,6,mid,13,0.8666666666666667,0.9333333333333333,35,0.42857142857142855,0.9063457398578811
bcic2a,6,mid,14,0.9333333333333333,1.0,189,0.8412698412698413,0.9674232483005144
bcic2a,6,deep,0,0.0,0.06666666666666667,0,,
bcic2a,6,deep,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,6,deep,2,0.13333333333333333,0.2,0,,
bcic2a,6,deep,3,0.2,0.26666666666666666,0,,
bcic2a,6,deep,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,6,deep,5,0.3333333333333333,0.4,1,0.0,0.3711591343849485
bcic2a,6,deep,6,0.4,0.4666666666666667,6,0.3333333333333333,0.4494247614991562
bcic2a,6,deep,7,0.4666666666666667,0.5333333333333333,7,0.7142857142857143,0.5076484705056777
bcic2a,6,deep,8,0.5333333333333333,0.6,6,0.6666666666666666,0.5589366399432949
bcic2a,6,deep,9,0.6,0.6666666666666666,8,0.75,0.6279115324034052
bcic2a,6,deep,10,0.6666666666666666,0.7333333333333333,13,0.38461538461538464,0.6999434549557347
bcic2a,6,deep,11,0.7333333333333333,0.8,8,0.625,0.7659896188547775
bcic2a,6,deep,12,0.8,0.8666666666666667,14,0.42857142857142855,0.8282274669066307
bcic2a,6,deep,13,0.8666666666666667,0.9333333333333333,31,0.41935483870967744,0.9059782188220555
bcic2a,6,deep,14,0.9333333333333333,1.0,194,0.8402061855670103,0.9673477138623343
bcic2a,6,final,0,0.0,0.06666666666666667,0,,
bcic2a,6,final,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,6,final,2,0.13333333333333333,0.2,0,,
bcic2a,6,final,3,0.2,0.26666666666666666,0,,
bcic2a,6,final,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,6,final,5,0.3333333333333333,0.4,0,,
bcic2a,6,final,6,0.4,0.4666666666666667,3,0.3333333333333333,0.4219121302139968
bcic2a,6,final,7,0.4666666666666667,0.5333333333333333,5,0.0,0.5019954142713227
bcic2a,6,final,8,0.5333333333333333,0.6,9,0.3333333333333333,0.5688334503326682
bcic2a,6,final,9,0.6,0.6666666666666666,8,0.625,0.6287184108365127
bcic2a,6,final,10,0.6666666666666666,0.7333333333333333,14,0.42857142857142855,0.7001952934588666
bcic2a,6,final,11,0.7333333333333333,0.8,9,0.4444444444444444,0.7647624822476818
bcic2a,6,final,12,0.8,0.8666666666666667,19,0.47368421052631576,0.8347779473517994
bcic2a,6,final,13,0.8666666666666667,0.9333333333333333,29,0.3103448275862069,0.9043110062864972
bcic2a,6,final,14,0.9333333333333333,1.0,192,0.8645833333333334,0.9701965977105163
bcic2a,6,ensemble,0,0.0,0.06666666666666667,0,,
bcic2a,6,ensemble,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,6,ensemble,2,0.13333333333333333,0.2,0,,
bcic2a,6,ensemble,3,0.2,0.26666666666666666,0,,
bcic2a,6,ensemble,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,6,ensemble,5,0.3333333333333333,0.4,3,0.6666666666666666,0.3817037805363029
bcic2a,6,ensemble,6,0.4,0.4666666666666667,2,0.5,0.43099610685456896
bcic2a,6,ensemble,7,0.4666666666666667,0.5333333333333333,9,0.5555555555555556,0.505858940409453
bcic2a,6,ensemble,8,0.5333333333333333,0.6,8,0.625,0.5695858497681836
bcic2a,6,ensemble,9,0.6,0.6666666666666666,12,0.75,0.6315157218357276
bcic2a,6,ensemble,10,0.6666666666666666,0.7333333333333333,11,0.5454545454545454,0.6968285772815839
bcic2a,6,ensemble,11,0.7333333333333333,0.8,8,0.375,0.7722635209406565
bcic2a,6,ensemble,12,0.8,0.8666666666666667,19,0.3684210526315789,0.8357478759259581
bcic2a,6,ensemble,13,0.8666666666666667,0.9333333333333333,33,0.48484848484848486,0.9087079906501263
bcic2a,6,ensemble,14,0.9333333333333333,1.0,183,0.8633879781420765,0.9666908771617551
