dataset,subject,exit,bin,lower,upper,n,accuracy,confidence
bcic2a,1,shallow,0,0.0,0.06666666666666667,0,,
bcic2a,1,shallow,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,1,shallow,2,0.13333333333333333,0.2,0,,
bcic2a,1,shallow,3,0.2,0.26666666666666666,0,,
bcic2a,1,shallow,4,0.26666666666666666,0.3333333333333333,1,1.0,0.32185264746989994
bcic2a,1,shallow,5,0.3333333333333333,0.4,1,0.0,0.3957846197260179
bcic2a,1,shallow,6,0.4,0.4666666666666667,4,1.0,0.43216086840504886
bcic2a,1,shallow,7,0.4666666666666667,0.5333333333333333,18,0.7222222222222222,0.5056736513509494
bcic2a,1,shallow,8,0.5333333333333333,0.6,15,0.6,0.566445178866933
bcic2a,1,shallow,9,0.6,0.6666666666666666,14,0.7857142857142857,0.6307556868253407
bcic2a,1,shallow,10,0.6666666666666666,0.7333333333333333,19,0.7894736842105263,0.7053652693389921
bcic2a,1,shallow,11,0.7333333333333333,0.8,18,0.8333333333333334,0.7633259908429636
bcic2a,1,shallow,12,0.8,0.8666666666666667,26,0.8461538461538461,0.8359196552468285
bcic2a,1,shallow,13,0.8666666666666667,0.9333333333333333,42,0.9285714285714286,0.9049852530844733
bcic2a,1,shallow,14,0.9333333333333333,1.0,130,0.9769230769230769,0.9704085123599664
bcic2a,1,mid,0,0.0,0.06666666666666667,0,,
bcic2a,1,mid,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,1,mid,2,0.13333333333333333,0.2,0,,
bcic2a,1,mid,3,0.2,0.26666666666666666,0,,
bcic2a,1,mid,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,1,mid,5,0.3333333333333333,0.4,0,,
bcic2a,1,mid,6,0.4,0.4666666666666667,1,1.0,0.45838645644647336
bcic2a,1,mid,7,0.4666666666666667,0.5333333333333333,8,0.625,0.49472254649959935
bcic2a,1,mid,8,0.5333333333333333,0.6,1,0.0,0.5795216458030754
bcic2a,1,mid,9,0.6,0.6666666666666666,3,1.0,0.6332387849384213
bcic2a,1,mid,10,0.6666666666666666,0.7333333333333333,2,1.0,0.7212624912007523
bcic2a,1,mid,11,0.7333333333333333,0.8,3,1.0,0.7546339621868957
bcic2a,1,mid,12,0.8,0.8666666666666667,8,0.625,0.8320957936631115
bcic2a,1,mid,13,0.8666666666666667,0.9333333333333333,20,0.9,0.9142615246197042
bcic2a,1,mid,14,0.9333333333333333,1.0,242,0.9504132231404959,0.9686425692263482
bcic2a,1,deep,0,0.0,0.06666666666666667,0,,
bcic2a,1,deep,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,1,deep,2,0.13333333333333333,0.2,0,,
bcic2a,1,deep,3,0.2,0.26666666666666666,0,,
bcic2a,1,deep,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,1,deep,5,0.3333333333333333,0.4,0,,
bcic2a,1,deep,6,0.4,0.4666666666666667,0,,
bcic2a,1,deep,7,0.4666666666666667,0.5333333333333333,6,0.5,0.5019315166334218
bcic2a,1,deep,8,0.5333333333333333,0.6,3,0.6666666666666666,0.5674397164463669
