dataset,subject,exit,bin,lower,upper,n,accuracy,confidence
bcic2a,5,shallow,0,0.0,0.06666666666666667,0,,
bcic2a,5,shallow,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,5,shallow,2,0.13333333333333333,0.2,0,,
bcic2a,5,shallow,3,0.2,0.26666666666666666,0,,
bcic2a,5,shallow,4,0.26666666666666666,0.3333333333333333,2,0.5,0.3250442009638766
bcic2a,5,shallow,5,0.3333333333333333,0.4,2,0.0,0.3559131432913747
bcic2a,5,shallow,6,0.4,0.4666666666666667,4,0.25,0.44717101170952456
bcic2a,5,shallow,7,0.4666666666666667,0.5333333333333333,14,0.5,0.5039161296642005
bcic2a,5,shallow,8,0.5333333333333333,0.6,15,0.5333333333333333,0.5710224562786714
bcic2a,5,shallow,9,0.6,0.6666666666666666,19,0.3157894736842105,0.6339954273183186
bcic2a,5,shallow,10,0.6666666666666666,0.7333333333333333,17,0.6470588235294118,0.7041772783535516
bcic2a,5,shallow,11,0.7333333333333333,0.8,34,0.6470588235294118,0.7790684073034155
bcic2a,5,shallow,12,0.8,0.8666666666666667,21,0.6190476190476191,0.8367705888675298
bcic2a,5,shallow,13,0.8666666666666667,0.9333333333333333,53,0.8490566037735849,0.9071644149884157
bcic2a,5,shallow,14,0.9333333333333333,1.0,107,0.9626168224299065,0.9673968731720122
bcic2a,5,mid,0,0.0,0.06666666666666667,0,,
bcic2a,5,mid,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,5,mid,2,0.13333333333333333,0.2,0,,
bcic2a,5,mid,3,0.2,0.26666666666666666,0,,
bcic2a,5,mid,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,5,mid,5,0.3333333333333333,0.4,0,,
bcic2a,5,mid,6,0.4,0.4666666666666667,0,,
bcic2a,5,mid,7,0.4666666666666667,0.5333333333333333,3,0.6666666666666666,0.5002487490066162
bcic2a,5,mid,8,0.5333333333333333,0.6,4,1.0,0.5480172504400327
bcic2a,5,mid,9,0.6,0.6666666666666666,5,0.6,0.6414361912001112
bcic2a,5,mid,10,0.6666666666666666,0.7333333333333333,9,0.4444444444444444,0.7056448868808637
bcic2a,5,mid,11,0.7333333333333333,0.8,8,0.75,0.7606984453427903
bcic2a,5,mid,12,0.8,0.8666666666666667,12,0.5833333333333334,0.834554625500355
bcic2a,5,mid,13,0.8666666666666667,0.9333333333333333,32,0.65625,0.9054316213156333
bcic2a,5,mid,14,0.9333333333333333,1.0,215,0.8744186046511628,0.9678985003804859
bcic2a,5,deep,0,0.0,0.06666666666666667,0,,
bcic2a,5,deep,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,5,deep,2,0.13333333333333333,0.2,0,,
bcic2a,5,deep,3,0.2,0.26666666666666666,0,,
bcic2a,5,deep,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,5,deep,5,0.3333333333333333,0.4,0,,
bcic2a,5,deep,6,0.4,0.4666666666666667,2,0.5,0.45223444829730197
bcic2a,5,deep,7,0.4666666666666667,0.5333333333333333,4,0.25,0.5083845531389819
bcic2a,5,deep,8,0.5333333333333333,0.6,5,0.6,0.5620317826541884
bcic2a,5,deep,9,0.6,0.6666666666666666,4,0.5,0.6282034155859753
bcic2a,5,deep,10,0.6666666666666666,0.7333333333333333,6,0.6666666666666666,0.6974974800813952
bcic2a,5,deep,11,0.7333333333333333,0.8,6,0.5,0.775799721163315
bcic2a,5,deep,12,0.8,0.8666666666666667,11,0.45454545454545453,0.8362153264611796
bcic2a,5,deep,13,0.8666666666666667,0.9333333333333333,22,0.6818181818181818,0.9024480601324175
bcic2a,5,deep,14,0.9333333333333333,1.0,228,0.868421052631579,0.9661580364743194
bcic2a,5,final,0,0.0,0.06666666666666667,0,,
bcic2a,5,final,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,5,final,2,0.13333333333333333,0.2,0,,
bcic2a,5,final,3,0.2,0.26666666666666666,0,,
bcic2a,5,final,4,0.26666666666666666,0.3333333333333333,1,0.0,0.2820134999195067
bcic2a,5,final,5,0.3333333333333333,0.4,0,,
bcic2a,5,final,6,0.4,0.4666666666666667,0,,
bcic2a,5,final,7,0.4666666666666667,0.5333333333333333,1,1.0,0.47669194234497686
bcic2a,5,final,8,0.5333333333333333,0.6,5,0.4,0.5574460139360033
bcic2a,5,final,9,0.6,0.6666666666666666,7,0.5714285714285714,0.6417048753826355
bcic2a,5,final,10,0.6666666666666666,0.7333333333333333,5,0.4,0.6829965639564273
bcic2a,5,final,11,0.7333333333333333,0.8,7,0.5714285714285714,0.7658889632972107
bcic2a,5,final,12,0.8,0.8666666666666667,16,0.6875,0.8363771589135329
bcic2a,5,final,13,0.8666666666666667,0.9333333333333333,23,0.5217391304347826,0.9053587590624035
bcic2a,5,final,14,0.9333333333333333,1.0,223,0.8878923766816144,0.9695024541982791
bcic2a,5,ensemble,0,0.0,0.06666666666666667,0,,
bcic2a,5,ensemble,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,5,ensemble,2,0.13333333333333333,0.2,0,,
bcic2a,5,ensemble,3,0.2,0.26666666666666666,0,,
bcic2a,5,ensemble,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,5,ensemble,5,0.3333333333333333,0.4,1,1.0,0.3985620969992234
bcic2a,5,ensemble,6,0.4,0.4666666666666667,1,0.0,0.4369768035755335
bcic2a,5,ensemble,7,0.4666666666666667,0.5333333333333333,3,0.3333333333333333,0.5052293265124046
bcic2a,5,ensemble,8,0.5333333333333333,0.6,5,0.6,0.5650971350854632
bcic2a,5,ensemble,9,0.6,0.6666666666666666,6,0.8333333333333334,0.6275118340946197
bcic2a,5,ensemble,10,0.6666666666666666,0.7333333333333333,5,0.6,0.7038258674912147
bcic2a,5,ensemble,11,0.7333333333333333,0.8,10,0.5,0.7606839150661202
bcic2a,5,ensemble,12,0.8,0.8666666666666667,14,0.5,0.8397114567757505
bcic2a,5,ensemble,13,0.8666666666666667,0.9333333333333333,32,0.71875,0.9088238557012929
bcic2a,5,ensemble,14,0.9333333333333333,1.0,211,0.8815165876777251,0.9662037835449093
