dataset,subject,exit,bin,lower,upper,n,accuracy,confidence
bcic2a,4,shallow,0,0.0,0.06666666666666667,0,,
bcic2a,4,shallow,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,4,shallow,2,0.13333333333333333,0.2,0,,
bcic2a,4,shallow,3,0.2,0.26666666666666666,0,,
bcic2a,4,shallow,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,4,shallow,5,0.3333333333333333,0.4,4,0.5,0.36559760206110603
bcic2a,4,shallow,6,0.4,0.4666666666666667,12,0.5833333333333334,0.4396259051631152
bcic2a,4,shallow,7,0.4666666666666667,0.5333333333333333,17,0.7058823529411765,0.49748820618778694
bcic2a,4,shallow,8,0.5333333333333333,0.6,13,0.46153846153846156,0.5673544527066532
bcic2a,4,shallow,9,0.6,0.6666666666666666,15,0.8,0.6249006397637519
bcic2a,4,shallow,10,0.6666666666666666,0.7333333333333333,26,0.6538461538461539,0.698940836175921
bcic2a,4,shallow,11,0.7333333333333333,0.8,19,1.0,0.7667112705061191
bcic2a,4,shallow,12,0.8,0.8666666666666667,25,0.8,0.8296954225518447
bcic2a,4,shallow,13,0.8666666666666667,0.9333333333333333,51,0.9019607843137255,0.9088755888169969
bcic2a,4,shallow,14,0.9333333333333333,1.0,106,0.9905660377358491,0.9653152247226507
bcic2a,4,mid,0,0.0,0.06666666666666667,0,,
bcic2a,4,mid,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,4,mid,2,0.13333333333333333,0.2,0,,
bcic2a,4,mid,3,0.2,0.26666666666666666,0,,
bcic2a,4,mid,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,4,mid,5,0.3333333333333333,0.4,0,,
bcic2a,4,mid,6,0.4,0.4666666666666667,0,,
bcic2a,4,mid,7,0.4666666666666667,0.5333333333333333,5,0.4,0.49231308613939717
bcic2a,4,mid,8,0.5333333333333333,0.6,5,0.6,0.5529998807017869
bcic2a,4,mid,9,0.6,0.6666666666666666,4,0.75,0.6259469599972444
bcic2a,4,mid,10,0.6666666666666666,0.7333333333333333,5,0.6,0.7191506915822228
bcic2a,4,mid,11,0.7333333333333333,0.8,8,0.625,0.7824679306793711
bcic2a,4,mid,12,0.8,0.8666666666666667,15,0.6666666666666666,0.8348458963929506
bcic2a,4,mid,13,0.8666666666666667,0.9333333333333333,23,0.8260869565217391,0.9057833465617762
bcic2a,4,mid,14,0.9333333333333333,1.0,223,0.9417040358744395,0.9692337843018889
bcic2a,4,deep,0,0.0,0.06666666666666667,0,,
bcic2a,4,deep,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,4,deep,2,0.13333333333333333,0.2,0,,
bcic2a,4,deep,3,0.2,0.26666666666666666,0,,
bcic2a,4,deep,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,4,deep,5,0.3333333333333333,0.4,0,,
bcic2a,4,deep,6,0.4,0.4666666666666667,2,0.5,0.45005556593443996
bcic2a,4,deep,7,0.4666666666666667,0.5333333333333333,4,0.5,0.4982901960957308
bcic2a,4,deep,8,0.5333333333333333,0.6,3,1.0,0.5544789691667874
bcic2a,4,deep,9,0.6,0.6666666666666666,2,0.5,0.6225248285208435
bcic2a,4,deep,10,0.6666666666666666,0.7333333333333333,7,0.42857142857142855,0.7033644822526203
bcic2a,4,deep,11,0.7333333333333333,0.8,5,1.0,0.7734375391295341
bcic2a,4,deep,12,0.8,0.8666666666666667,15,0.6,0.8436405877623687
bcic2a,4,deep,13,0.8666666666666667,0.9333333333333333,21,0.8095238095238095,0.90298268341677
bcic2a,4,deep,14,0.9333333333333333,1.0,229,0.9432314410480349,0.9684693335744078
bcic2a,4,final,0,0.0,0.06666666666666667,0,,
bcic2a,4,final,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,4,final,2,0.13333333333333333,0.2,0,,
bcic2a,4,final,3,0.2,0.26666666666666666,0,,
bcic2a,4,final,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,4,final,5,0.3333333333333333,0.4,0,,
bcic2a,4,final,6,0.4,0.4666666666666667,0,,
bcic2a,4,final,7,0.4666666666666667,0.5333333333333333,6,0.5,0.49949958224160373
bcic2a,4,final,8,0.5333333333333333,0.6,3,0.3333333333333333,0.5637278978547781
bcic2a,4,final,9,0.6,0.6666666666666666,4,0.25,0.6501770143984782
bcic2a,4,final,10,0.6666666666666666,0.7333333333333333,3,0.6666666666666666,0.6912860453841173
bcic2a,4,final,11,0.7333333333333333,0.8,7,0.2857142857142857,0.7687360329123561
bcic2a,4,final,12,0.8,0.8666666666666667,8,0.875,0.8371745819463268
bcic2a,4,final,13,0.8666666666666667,0.9333333333333333,22,0.9090909090909091,0.9121212598918145
bcic2a,4,final,14,0.9333333333333333,1.0,235,0.9361702127659575,0.9724025279488339
bcic2a,4,ensemble,0,0.0,0.06666666666666667,0,,
bcic2a,4,ensemble,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,4,ensemble,2,0.13333333333333333,0.2,0,,
bcic2a,4,ensemble,3,0.2,0.26666666666666666,0,,
bcic2a,4,ensemble,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,4,ensemble,5,0.3333333333333333,0.4,0,,
bcic2a,4,ensemble,6,0.4,0.4666666666666667,1,0.0,0.42114566361301453
bcic2a,4,ensemble,7,0.4666666666666667,0.5333333333333333,1,1.0,0.4994311135422494
bcic2a,4,ensemble,8,0.5333333333333333,0.6,7,0.7142857142857143,0.5619038961041046
bcic2a,4,ensemble,9,0.6,0.6666666666666666,4,0.5,0.6321360926084972
bcic2a,4,ensemble,10,0.6666666666666666,0.7333333333333333,6,0.3333333333333333,0.7001891934953419
bcic2a,4,ensemble,11,0.7333333333333333,0.8,6,0.6666666666666666,0.7685338882611443
bcic2a,4,ensemble,12,0.8,0.8666666666666667,17,0.7058823529411765,0.8335481216911831
bcic2a,4,ensemble,13,0.8666666666666667,0.9333333333333333,27,0.8888888888888888,0.9076850513686823
bcic2a,4,ensemble,14,0.9333333333333333,1.0,219,0.9452054794520548,0.9684733800542299
