dataset,seed,subject,exit,n_trials,accuracy_pct,kappa,ece_15,nll,brier_sum,mean_confidence
bcic2b,0,8,shallow,320,92.8125,0.85625,0.031320718877368245,0.18662357220591064,0.11297973591999763,0.9111696154800027
bcic2b,0,8,mid,320,94.375,0.8875,0.03817385320950763,0.17745967759669584,0.10078158511848997,0.9335729435944998
bcic2b,0,8,deep,320,93.75,0.875,0.033803448055765344,0.18762886737355888,0.10715845084676516,0.9329935067444819
bcic2b,0,8,final,320,94.375,0.8875,0.028029352537029706,0.16914374109715904,0.09708187566046797,0.9411516760219308
bcic2b,0,8,ensemble,320,94.6875,0.89375,0.03534604545218835,0.17389599107702422,0.09994761982280834,0.9353181575602679
