dataset,seed,exit,n_subjects,n_trials,macro_accuracy_pct,macro_kappa,macro_ece_15,macro_nll,macro_brier_sum
bcic2a,0,shallow,9,2592,83.02469135802468,0.7736625514403292,0.06574437526191998,0.49211273219112633,0.2538849963018048
bcic2a,0,mid,9,2592,86.38117283950618,0.8184156378600823,0.08023688716484716,0.48925796126837795,0.22905638473499346
bcic2a,0,deep,9,2592,86.57407407407408,0.8209876543209877,0.08210308122655723,0.49015401235473266,0.22799763767664796
bcic2a,0,final,9,2592,85.99537037037037,0.8132716049382717,0.08221392900089501,0.4876611892934864,0.2286476274733329
bcic2a,0,ensemble,9,2592,87.03703703703704,0.8271604938271605,0.07799870252157656,0.4696682805653664,0.22318703195801723
bcic2b,0,shallow,9,2840,86.83035714285714,0.7366071428571428,0.05369536148184681,0.3115367114737028,0.1917235460508197
bcic2b,0,mid,9,2840,89.37996031746032,0.7875992063492062,0.05210027687823872,0.2819889449338472,0.16767454813111154
bcic2b,0,deep,9,2840,89.04761904761905,0.780952380952381,0.056472628880942094,0.2851677752879008,0.16975849563507742
bcic2b,0,final,9,2840,89.76190476190476,0.7952380952380952,0.05215090866906268,0.2816458345432301,0.16502901051919494
bcic2b,0,ensemble,9,2840,89.99007936507935,0.7998015873015873,0.053138824080660015,0.27340805929873085,0.16244458503362458
