dataset,subject,seed,exit_1,exit_2,disagreement_pct,both_wrong_pct,error_correlation
bcic2a,1,0,shallow,mid,6.944444444444445,5.902777777777778,0.6232519696370811
bcic2a,1,0,shallow,deep,6.597222222222222,6.25,0.6294814720926716
bcic2a,1,0,shallow,final,9.027777777777777,5.555555555555555,0.5188646570343673
bcic2a,1,0,mid,deep,1.0416666666666665,7.291666666666667,0.9519475832576874
bcic2a,1,0,mid,final,3.4722222222222223,6.597222222222222,0.8147582256820414
bcic2a,1,0,deep,final,3.8194444444444446,6.597222222222222,0.7735624326254518
bcic2a,2,0,shallow,mid,15.277777777777779,25.0,0.7382955349335462
bcic2a,2,0,shallow,deep,15.277777777777779,24.305555555555554,0.7357925630556499
bcic2a,2,0,shallow,final,17.01388888888889,24.65277777777778,0.7001243155408121
bcic2a,2,0,mid,deep,3.4722222222222223,28.47222222222222,0.9504686335499757
bcic2a,2,0,mid,final,8.333333333333332,27.77777777777778,0.8616238446998798
bcic2a,2,0,deep,final,6.944444444444445,27.430555555555557,0.8776277942504052
bcic2a,3,0,shallow,mid,3.8194444444444446,2.083333333333333,0.5161784345154994
bcic2a,3,0,shallow,deep,4.166666666666666,2.083333333333333,0.48628267929231583
bcic2a,3,0,shallow,final,4.166666666666666,1.7361111111111112,0.45303814108408685
bcic2a,3,0,mid,deep,0.3472222222222222,3.125,0.9469816226033047
bcic2a,3,0,mid,final,2.430555555555556,1.7361111111111112,0.5768179036829715
bcic2a,3,0,deep,final,2.083333333333333,2.083333333333333,0.6604056805466271
bcic2a,4,0,shallow,mid,12.5,7.291666666666667,0.4999804352504544
bcic2a,4,0,shallow,deep,11.805555555555555,7.291666666666667,0.5231041031095629
bcic2a,4,0,shallow,final,11.805555555555555,7.638888888888889,0.5426095162342931
bcic2a,4,0,mid,deep,0.6944444444444444,10.76388888888889,0.9654447061958614
bcic2a,4,0,mid,final,2.083333333333333,10.76388888888889,0.948119444628904
bcic2a,4,0,deep,final,2.083333333333333,10.416666666666668,0.946685006519578
bcic2a,5,0,shallow,mid,12.847222222222221,16.319444444444446,0.7054999568862447
bcic2a,5,0,shallow,deep,13.194444444444445,16.666666666666664,0.6960669166708251
bcic2a,5,0,shallow,final,14.23611111111111,15.972222222222221,0.6746994312672521
bcic2a,5,0,mid,deep,2.083333333333333,18.055555555555554,0.9439756839125835
bcic2a,5,0,mid,final,4.513888888888888,16.666666666666664,0.8738021786148191
bcic2a,5,0,deep,final,3.8194444444444446,17.36111111111111,0.8878646576886683
bcic2a,6,0,shallow,mid,12.5,23.26388888888889,0.7675259045922347
bcic2a,6,0,shallow,deep,12.5,23.26388888888889,0.7675259045922347
bcic2a,6,0,shallow,final,11.805555555555555,24.305555555555554,0.7725858991498448
bcic2a,6,0,mid,deep,0.6944444444444444,27.083333333333332,0.9825570831566833
bcic2a,6,0,mid,final,6.944444444444445,26.041666666666668,0.8818702024745662
bcic2a,6,0,deep,final,6.944444444444445,26.041666666666668,0.8818702024745664
bcic2a,7,0,shallow,mid,9.027777777777777,5.208333333333334,0.5438920184108584
bcic2a,7,0,shallow,deep,9.375,4.861111111111112,0.5202536312813706
bcic2a,7,0,shallow,final,8.333333333333332,5.555555555555555,0.5867603548373299
bcic2a,7,0,mid,deep,1.0416666666666665,5.555555555555555,0.9091659564763733
bcic2a,7,0,mid,final,2.7777777777777777,4.861111111111112,0.7629629629629631
bcic2a,7,0,deep,final,2.430555555555556,4.861111111111112,0.7874366233916712
bcic2a,8,0,shallow,mid,9.027777777777777,6.25,0.5600398951526687
bcic2a,8,0,shallow,deep,7.986111111111111,6.944444444444445,0.6351290431060992
bcic2a,8,0,shallow,final,7.986111111111111,6.944444444444445,0.6187438240245032
bcic2a,8,0,mid,deep,2.083333333333333,7.291666666666667,0.8636363636363634
bcic2a,8,0,mid,final,2.430555555555556,7.291666666666667,0.8440761634182556
bcic2a,8,0,deep,final,2.430555555555556,7.291666666666667,0.8440761634182556
bcic2a,9,0,shallow,mid,9.027777777777777,7.291666666666667,0.6062013500807154
bcic2a,9,0,shallow,deep,9.375,6.597222222222222,0.5919797110312807
bcic2a,9,0,shallow,final,9.722222222222223,6.25,0.540375521484315
bcic2a,9,0,mid,deep,1.7361111111111112,8.680555555555555,0.9213889789075737
bcic2a,9,0,mid,final,3.8194444444444446,7.638888888888889,0.7803755095555437
bcic2a,9,0,deep,final,2.7777777777777777,7.638888888888889,0.8496139941241992
bcic2b,1,0,shallow,mid,7.187499999999999,16.5625,0.7815582873503001
bcic2b,1,0,shallow,deep,5.9375,17.8125,0.8216111405010929
bcic2b,1,0,shallow,final,7.8125,16.25,0.7620650175177128
bcic2b,1,0,mid,deep,1.875,18.125,0.9400232418674813
bcic2b,1,0,mid,final,2.5,17.1875,0.9168777193324242
bcic2b,1,0,deep,final,3.75,17.1875,0.8792254036816172
bcic2b,2,0,shallow,mid,18.571428571428573,17.142857142857142,0.5229131095959887
bcic2b,2,0,shallow,deep,16.428571428571427,18.928571428571427,0.5865809323281316
bcic2b,2,0,shallow,final,16.785714285714285,16.785714285714285,0.554786973130152
bcic2b,2,0,mid,deep,5.714285714285714,25.0,0.8584101030723947
bcic2b,2,0,mid,final,7.5,22.142857142857142,0.8064391659526181
bcic2b,2,0,deep,final,9.642857142857144,21.785714285714285,0.7574118049989778
bcic2b,3,0,shallow,mid,19.375,10.0,0.41027180879940844
bcic2b,3,0,shallow,deep,20.9375,9.375,0.36178658651436374
bcic2b,3,0,shallow,final,19.6875,8.75,0.3873965967381737
bcic2b,3,0,mid,deep,4.6875,13.125,0.820820364509824
bcic2b,3,0,mid,final,10.3125,9.0625,0.5799996820422935
bcic2b,3,0,deep,final,10.625,9.0625,0.5718873851133838
bcic2b,4,0,shallow,mid,2.1875,0.625,0.39982335877026964
bcic2b,4,0,shallow,deep,3.125,0.625,0.272997686708366
bcic2b,4,0,shallow,final,2.8125,0.625,0.3026137663344014
bcic2b,4,0,mid,deep,0.9375,0.9375,0.7037528961228234
bcic2b,4,0,mid,final,0.625,0.9375,0.7721492802826471
bcic2b,4,0,deep,final,0.9375,1.25,0.7256534839730863
bcic2b,5,0,shallow,mid,2.8125,0.9375,0.4928511014514349
bcic2b,5,0,shallow,deep,3.125,0.625,0.401778018960615
bcic2b,5,0,shallow,final,3.125,0.625,0.401778018960615
bcic2b,5,0,mid,deep,0.3125,0.625,0.8152117704056813
bcic2b,5,0,mid,final,0.3125,0.625,0.8152117704056813
bcic2b,5,0,deep,final,0.0,0.625,1.0
bcic2b,6,0,shallow,mid,9.375,7.5,0.5722302187359237
bcic2b,6,0,shallow,deep,9.0625,6.875000000000001,0.5746253657960363
bcic2b,6,0,shallow,final,9.0625,7.5,0.5843065474681438
bcic2b,6,0,mid,deep,2.8125,8.125,0.8404822436212432
bcic2b,6,0,mid,final,4.0625,8.125,0.7775112544942451
bcic2b,6,0,deep,final,3.125,7.8125,0.8183918171270468
bcic2b,7,0,shallow,mid,5.0,5.3125,0.6588967801716347
bcic2b,7,0,shallow,deep,5.0,5.3125,0.6588967801716348
bcic2b,7,0,shallow,final,4.375,5.9375,0.7096018926134556
bcic2b,7,0,mid,deep,0.625,6.5625,0.9511897498474677
bcic2b,7,0,mid,final,1.875,6.25,0.8604291160974248
bcic2b,7,0,deep,final,1.875,6.25,0.8604291160974249
bcic2b,8,0,shallow,mid,3.4375000000000004,4.6875,0.7197584308167067
bcic2b,8,0,shallow,deep,4.0625,4.6875,0.6779098771892819
bcic2b,8,0,shallow,final,3.4375000000000004,4.6875,0.7197584308167067
bcic2b,8,0,mid,deep,1.875,5.0,0.833473130290275
bcic2b,8,0,mid,final,0.625,5.3125,0.9411331861662988
bcic2b,8,0,deep,final,1.875,5.0,0.8334731302902751
bcic2b,9,0,shallow,mid,5.0,7.8125,0.7301465228833537
bcic2b,9,0,shallow,deep,5.3125,7.8125,0.7167072176664799
bcic2b,9,0,shallow,final,5.625,7.8125,0.703825586178527
bcic2b,9,0,mid,deep,1.5625,9.375,0.9145176429513807
bcic2b,9,0,mid,final,3.75,8.4375,0.7977526824095902
bcic2b,9,0,deep,final,3.4375000000000004,8.75,0.8167419558112634
