dataset,subject,exit,bin,lower,upper,n,accuracy,confidence
bcic2b,1,shallow,0,0.0,0.06666666666666667,0,,
bcic2b,1,shallow,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,1,shallow,2,0.13333333333333333,0.2,0,,
bcic2b,1,shallow,3,0.2,0.26666666666666666,0,,
bcic2b,1,shallow,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,1,shallow,5,0.3333333333333333,0.4,0,,
bcic2b,1,shallow,6,0.4,0.4666666666666667,0,,
bcic2b,1,shallow,7,0.4666666666666667,0.5333333333333333,10,0.4,0.523261535846492
bcic2b,1,shallow,8,0.5333333333333333,0.6,18,0.4444444444444444,0.5639265024396434
bcic2b,1,shallow,9,0.6,0.6666666666666666,12,0.3333333333333333,0.6309204176081337
bcic2b,1,shallow,10,0.6666666666666666,0.7333333333333333,19,0.7368421052631579,0.7028473604811214
bcic2b,1,shallow,11,0.7333333333333333,0.8,29,0.6206896551724138,0.7764307669318287
bcic2b,1,shallow,12,0.8,0.8666666666666667,47,0.8085106382978723,0.8300595718406932
bcic2b,1,shallow,13,0.8666666666666667,0.9333333333333333,52,0.8269230769230769,0.899744343506155
bcic2b,1,shallow,14,0.9333333333333333,1.0,133,0.9097744360902256,0.9738651428524391
bcic2b,1,mid,0,0.0,0.06666666666666667,0,,
bcic2b,1,mid,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,1,mid,2,0.13333333333333333,0.2,0,,
bcic2b,1,mid,3,0.2,0.26666666666666666,0,,
bcic2b,1,mid,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,1,mid,5,0.3333333333333333,0.4,0,,
bcic2b,1,mid,6,0.4,0.4666666666666667,0,,
bcic2b,1,mid,7,0.4666666666666667,0.5333333333333333,2,1.0,0.5155019569234951
bcic2b,1,mid,8,0.5333333333333333,0.6,4,0.75,0.5580168346321435
bcic2b,1,mid,9,0.6,0.6666666666666666,11,0.7272727272727273,0.6397647549907884
bcic2b,1,mid,10,0.6666666666666666,0.7333333333333333,15,0.6,0.7107862198241024
bcic2b,1,mid,11,0.7333333333333333,0.8,11,0.6363636363636364,0.7578550463281183
bcic2b,1,mid,12,0.8,0.8666666666666667,20,0.65,0.8400133200014837
bcic2b,1,mid,13,0.8666666666666667,0.9333333333333333,34,0.6764705882352942,0.9013838973142867
bcic2b,1,mid,14,0.9333333333333333,1.0,223,0.8789237668161435,0.9774662608218962
bcic2b,1,deep,0,0.0,0.06666666666666667,0,,
bcic2b,1,deep,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,1,deep,2,0.13333333333333333,0.2,0,,
bcic2b,1,deep,3,0.2,0.26666666666666666,0,,
bcic2b,1,deep,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,1,deep,5,0.3333333333333333,0.4,0,,
bcic2b,1,deep,6,0.4,0.4666666666666667,0,,
bcic2b,1,deep,7,0.4666666666666667,0.5333333333333333,5,0.8,0.5161826013219919
bcic2b,1,deep,8,0.5333333333333333,0.6,5,0.4,0.555796640708642
bcic2b,1,deep,9,0.6,0.6666666666666666,8,0.625,0.6452317870917794
bcic2b,1,deep,10,0.6666666666666666,0.7333333333333333,13,0.6923076923076923,0.7028577304071977
bcic2b,1,deep,11,0.7333333333333333,0.8,8,0.5,0.7650316008862923
bcic2b,1,deep,12,0.8,0.8666666666666667,20,0.6,0.8388154091060617
bcic2b,1,deep,13,0.8666666666666667,0.9333333333333333,38,0.6842105263157895,0.905971204580196
bcic2b,1,deep,14,0.9333333333333333,1.0,223,0.874439461883408,0.9767612344263936
bcic2b,1,final,0,0.0,0.06666666666666667,0,,
bcic2b,1,final,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,1,final,2,0.13333333333333333,0.2,0,,
bcic2b,1,final,3,0.2,0.26666666666666666,0,,
bcic2b,1,final,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,1,final,5,0.3333333333333333,0.4,0,,
bcic2b,1,final,6,0.4,0.4666666666666667,0,,
bcic2b,1,final,7,0.4666666666666667,0.5333333333333333,1,1.0,0.504862077011081
bcic2b,1,final,8,0.5333333333333333,0.6,7,0.5714285714285714,0.559626256732289
bcic2b,1,final,9,0.6,0.6666666666666666,4,0.5,0.6247539107393949
bcic2b,1,final,10,0.6666666666666666,0.7333333333333333,7,0.7142857142857143,0.7047311216092211
bcic2b,1,final,11,0.7333333333333333,0.8,13,0.6923076923076923,0.774596519411663
bcic2b,1,final,12,0.8,0.8666666666666667,14,0.6428571428571429,0.8335748533131069
bcic2b,1,final,13,0.8666666666666667,0.9333333333333333,41,0.6829268292682927,0.904110865991131
bcic2b,1,final,14,0.9333333333333333,1.0,233,0.871244635193133,0.9783554783134607
bcic2b,1,ensemble,0,0.0,0.06666666666666667,0,,
bcic2b,1,ensemble,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,1,ensemble,2,0.13333333333333333,0.2,0,,
bcic2b,1,ensemble,3,0.2,0.26666666666666666,0,,
bcic2b,1,ensemble,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,1,ensemble,5,0.3333333333333333,0.4,0,,
bcic2b,1,ensemble,6,0.4,0.4666666666666667,0,,
bcic2b,1,ensemble,7,0.4666666666666667,0.5333333333333333,1,1.0,0.5254494448570942
