dataset,subject,exit,bin,lower,upper,n,accuracy,confidence
bcic2b,3,shallow,0,0.0,0.06666666666666667,0,,
bcic2b,3,shallow,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,3,shallow,2,0.13333333333333333,0.2,0,,
bcic2b,3,shallow,3,0.2,0.26666666666666666,0,,
bcic2b,3,shallow,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,3,shallow,5,0.3333333333333333,0.4,0,,
bcic2b,3,shallow,6,0.4,0.4666666666666667,0,,
bcic2b,3,shallow,7,0.4666666666666667,0.5333333333333333,20,0.6,0.5159895194233493
bcic2b,3,shallow,8,0.5333333333333333,0.6,46,0.6739130434782609,0.5634213993975689
bcic2b,3,shallow,9,0.6,0.6666666666666666,57,0.6140350877192983,0.631932630985122
bcic2b,3,shallow,10,0.6666666666666666,0.7333333333333333,52,0.7692307692307693,0.6997240696451019
bcic2b,3,shallow,11,0.7333333333333333,0.8,47,0.8936170212765957,0.7712215496332672
bcic2b,3,shallow,12,0.8,0.8666666666666667,54,0.8333333333333334,0.8324838100042846
bcic2b,3,shallow,13,0.8666666666666667,0.9333333333333333,35,0.8857142857142857,0.9009891183488253
bcic2b,3,shallow,14,0.9333333333333333,1.0,9,0.7777777777777778,0.9544375463487991
bcic2b,3,mid,0,0.0,0.06666666666666667,0,,
bcic2b,3,mid,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,3,mid,2,0.13333333333333333,0.2,0,,
bcic2b,3,mid,3,0.2,0.26666666666666666,0,,
bcic2b,3,mid,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,3,mid,5,0.3333333333333333,0.4,0,,
bcic2b,3,mid,6,0.4,0.4666666666666667,0,,
bcic2b,3,mid,7,0.4666666666666667,0.5333333333333333,6,0.6666666666666666,0.5136877859065309
bcic2b,3,mid,8,0.5333333333333333,0.6,17,0.47058823529411764,0.5722315852507223
bcic2b,3,mid,9,0.6,0.6666666666666666,29,0.6206896551724138,0.6344300184228736
bcic2b,3,mid,10,0.6666666666666666,0.7333333333333333,23,0.8260869565217391,0.6987885682645706
bcic2b,3,mid,11,0.7333333333333333,0.8,21,0.7142857142857143,0.7703370129724182
bcic2b,3,mid,12,0.8,0.8666666666666667,50,0.82,0.8390370284127704
bcic2b,3,mid,13,0.8666666666666667,0.9333333333333333,71,0.9295774647887324,0.9053066565749296
bcic2b,3,mid,14,0.9333333333333333,1.0,103,0.970873786407767,0.9527447937576432
bcic2b,3,deep,0,0.0,0.06666666666666667,0,,
bcic2b,3,deep,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,3,deep,2,0.13333333333333333,0.2,0,,
bcic2b,3,deep,3,0.2,0.26666666666666666,0,,
bcic2b,3,deep,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,3,deep,5,0.3333333333333333,0.4,0,,
bcic2b,3,deep,6,0.4,0.4666666666666667,0,,
bcic2b,3,deep,7,0.4666666666666667,0.5333333333333333,14,0.35714285714285715,0.5179358594612272
bcic2b,3,deep,8,0.5333333333333333,0.6,18,0.6111111111111112,0.5681093706861325
bcic2b,3,deep,9,0.6,0.6666666666666666,20,0.85,0.6384749432024731
bcic2b,3,deep,10,0.6666666666666666,0.7333333333333333,32,0.5,0.7019480269715388
bcic2b,3,deep,11,0.7333333333333333,0.8,26,0.8076923076923077,0.7666621702595816
bcic2b,3,deep,12,0.8,0.8666666666666667,55,0.8727272727272727,0.8376426649500344
bcic2b,3,deep,13,0.8666666666666667,0.9333333333333333,87,0.9770114942528736,0.9065595869429184
bcic2b,3,deep,14,0.9333333333333333,1.0,68,0.9852941176470589,0.9452100487801144
bcic2b,3,final,0,0.0,0.06666666666666667,0,,
bcic2b,3,final,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,3,final,2,0.13333333333333333,0.2,0,,
bcic2b,3,final,3,0.2,0.26666666666666666,0,,
bcic2b,3,final,4,0.26666666666666666,0.3333333333333333,0,,
