dataset,subject,exit,bin,lower,upper,n,accuracy,confidence
bcic2b,2,shallow,0,0.0,0.06666666666666667,0,,
bcic2b,2,shallow,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,2,shallow,2,0.13333333333333333,0.2,0,,
bcic2b,2,shallow,3,0.2,0.26666666666666666,0,,
bcic2b,2,shallow,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,2,shallow,5,0.3333333333333333,0.4,0,,
bcic2b,2,shallow,6,0.4,0.4666666666666667,0,,
bcic2b,2,shallow,7,0.4666666666666667,0.5333333333333333,13,0.46153846153846156,0.518917897508069
bcic2b,2,shallow,8,0.5333333333333333,0.6,40,0.675,0.5637322439143394
bcic2b,2,shallow,9,0.6,0.6666666666666666,35,0.6,0.6293290612044492
bcic2b,2,shallow,10,0.6666666666666666,0.7333333333333333,36,0.7222222222222222,0.6945740666693325
bcic2b,2,shallow,11,0.7333333333333333,0.8,36,0.6944444444444444,0.7631863338944578
bcic2b,2,shallow,12,0.8,0.8666666666666667,46,0.8695652173913043,0.8267023524604713
bcic2b,2,shallow,13,0.8666666666666667,0.9333333333333333,39,0.8461538461538461,0.8994864208533787
bcic2b,2,shallow,14,0.9333333333333333,1.0,35,0.8571428571428571,0.9612977614791524
bcic2b,2,mid,0,0.0,0.06666666666666667,0,,
bcic2b,2,mid,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,2,mid,2,0.13333333333333333,0.2,0,,
bcic2b,2,mid,3,0.2,0.26666666666666666,0,,
bcic2b,2,mid,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,2,mid,5,0.3333333333333333,0.4,0,,
bcic2b,2,mid,6,0.4,0.4666666666666667,0,,
bcic2b,2,mid,7,0.4666666666666667,0.5333333333333333,11,0.36363636363636365,0.5116876808217271
bcic2b,2,mid,8,0.5333333333333333,0.6,14,0.6428571428571429,0.5682007065626353
bcic2b,2,mid,9,0.6,0.6666666666666666,20,0.7,0.6375264343450617
bcic2b,2,mid,10,0.6666666666666666,0.7333333333333333,20,0.55,0.7061143038047721
bcic2b,2,mid,11,0.7333333333333333,0.8,38,0.631578947368421,0.7711730684858057
bcic2b,2,mid,12,0.8,0.8666666666666667,29,0.7931034482758621,0.8316508980931966
bcic2b,2,mid,13,0.8666666666666667,0.9333333333333333,60,0.7,0.9076791040646967
bcic2b,2,mid,14,0.9333333333333333,1.0,88,0.875,0.9617302215446631
bcic2b,2,deep,0,0.0,0.06666666666666667,0,,
bcic2b,2,deep,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,2,deep,2,0.13333333333333333,0.2,0,,
bcic2b,2,deep,3,0.2,0.26666666666666666,0,,
bcic2b,2,deep,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,2,deep,5,0.3333333333333333,0.4,0,,
bcic2b,2,deep,6,0.4,0.4666666666666667,0,,
bcic2b,2,deep,7,0.4666666666666667,0.5333333333333333,3,0.6666666666666666,0.5245260913473416
bcic2b,2,deep,8,0.5333333333333333,0.6,26,0.4230769230769231,0.5660413196118572
bcic2b,2,deep,9,0.6,0.6666666666666666,21,0.6190476190476191,0.6345703584551826
bcic2b,2,deep,10,0.6666666666666666,0.7333333333333333,35,0.6,0.6982039988014744
bcic2b,2,deep,11,0.7333333333333333,0.8,26,0.6538461538461539,0.7649446776566274
bcic2b,2,deep,12,0.8,0.8666666666666667,31,0.7741935483870968,0.8309881843924695
bcic2b,2,deep,13,0.8666666666666667,0.9333333333333333,58,0.7068965517241379,0.9040990195662113
bcic2b,2,deep,14,0.9333333333333333,1.0,80,0.8875,0.9585738192475036
bcic2b,2,final,0,0.0,0.06666666666666667,0,,
bcic2b,2,final,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,2,final,2,0.13333333333333333,0.2,0,,
bcic2b,2,final,3,0.2,0.26666666666666666,0,,
bcic2b,2,final,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,2,final,5,0.3333333333333333,0.4,0,,
bcic2b,2,final,6,0.4,0.4666666666666667,0,,
bcic2b,2,final,7,0.4666666666666667,0.5333333333333333,8,0.75,0.5135923695678242
bcic2b,2,final,8,0.5333333333333333,0.6,21,0.7142857142857143,0.5736139811181806
bcic2b,2,final,9,0.6,0.6666666666666666,14,0.6428571428571429,0.6400880124096082
bcic2b,2,final,10,0.6666666666666666,0.7333333333333333,21,0.6190476190476191,0.7065530892726437
bcic2b,2,final,11,0.7333333333333333,0.8,19,0.7368421052631579,0.766313961919758
bcic2b,2,final,12,0.8,0.8666666666666667,35,0.8857142857142857,0.8381322639749665
bcic2b,2,final,13,0.8666666666666667,0.9333333333333333,39,0.5128205128205128,0.8989053737570384
bcic2b,2,final,14,0.9333333333333333,1.0,123,0.8373983739837398,0.9693270404928852
