dataset,seed,subject,exit,n_trials,accuracy_pct,kappa,ece_15,nll,brier_sum,mean_confidence
bcic2b,0,6,shallow,320,85.9375,0.71875,0.07345944178004184,0.3077086241672379,0.1895761044982182,0.8399796761197343
bcic2b,0,6,mid,320,89.6875,0.79375,0.02910768115332389,0.23490357482399604,0.14308772741406645,0.9018330346675999
bcic2b,0,6,deep,320,91.25,0.825,0.03497164588595504,0.23688453374052018,0.14093905210984184,0.906939846927191
bcic2b,0,6,final,320,90.0,0.8,0.038627266131251725,0.2618670477777719,0.15799366351625727,0.9194737497323985
bcic2b,0,6,ensemble,320,90.625,0.8125,0.030061294331764674,0.23971870111785593,0.14501271238717145,0.9061467905803291
