dataset,subject,exit,bin,lower,upper,n,accuracy,confidence
bcic2b,6,shallow,0,0.0,0.06666666666666667,0,,
bcic2b,6,shallow,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,6,shallow,2,0.13333333333333333,0.2,0,,
bcic2b,6,shallow,3,0.2,0.26666666666666666,0,,
bcic2b,6,shallow,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,6,shallow,5,0.3333333333333333,0.4,0,,
bcic2b,6,shallow,6,0.4,0.4666666666666667,0,,
bcic2b,6,shallow,7,0.4666666666666667,0.5333333333333333,10,0.3,0.5187519260468998
bcic2b,6,shallow,8,0.5333333333333333,0.6,16,0.3125,0.5708351588402376
bcic2b,6,shallow,9,0.6,0.6666666666666666,30,0.8333333333333334,0.6369227701558693
bcic2b,6,shallow,10,0.6666666666666666,0.7333333333333333,21,0.6190476190476191,0.7036355731120741
bcic2b,6,shallow,11,0.7333333333333333,0.8,24,0.75,0.7730429177790769
bcic2b,6,shallow,12,0.8,0.8666666666666667,43,0.9302325581395349,0.8305236354984197
bcic2b,6,shallow,13,0.8666666666666667,0.9333333333333333,65,0.9384615384615385,0.9010178241111805
bcic2b,6,shallow,14,0.9333333333333333,1.0,111,0.990990990990991,0.9707826981623059
bcic2b,6,mid,0,0.0,0.06666666666666667,0,,
bcic2b,6,mid,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,6,mid,2,0.13333333333333333,0.2,0,,
bcic2b,6,mid,3,0.2,0.26666666666666666,0,,
bcic2b,6,mid,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,6,mid,5,0.3333333333333333,0.4,0,,
bcic2b,6,mid,6,0.4,0.4666666666666667,0,,
bcic2b,6,mid,7,0.4666666666666667,0.5333333333333333,2,0.5,0.5245898080438034
bcic2b,6,mid,8,0.5333333333333333,0.6,12,0.5,0.5607731397324947
bcic2b,6,mid,9,0.6,0.6666666666666666,16,0.5625,0.625593926599999
bcic2b,6,mid,10,0.6666666666666666,0.7333333333333333,10,0.6,0.7038102695457874
bcic2b,6,mid,11,0.7333333333333333,0.8,16,0.75,0.7645304036682622
bcic2b,6,mid,12,0.8,0.8666666666666667,17,0.8823529411764706,0.8456456661730659
bcic2b,6,mid,13,0.8666666666666667,0.9333333333333333,46,0.8478260869565217,0.8998253317113085
bcic2b,6,mid,14,0.9333333333333333,1.0,201,0.9900497512437811,0.9739307474494628
bcic2b,6,deep,0,0.0,0.06666666666666667,0,,
bcic2b,6,deep,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,6,deep,2,0.13333333333333333,0.2,0,,
